,Major,Degree_Type,Early_Career_Pay,Mid-Career_Pay
0,Petroleum Engineering,Bachelors,93200,187300
1,Operations Research & Industrial Engineering,Bachelors,84800,170400
2,Electrical Engineering & Computer Science (EECS),Bachelors,108500,159300
3,Interaction Design,Bachelors,68300,155800
4,Public Accounting,Bachelors,59800,147700
5,Operations Research,Bachelors,83500,147400
6,Applied Economics and Management,Bachelors,66100,146400
7,Business Computing (BC),Bachelors,73000,143600
8,Actuarial Mathematics,Bachelors,64300,143400
9,Electrical Power Engineering,Bachelors,76100,142600
10,Information & Computer Science,Bachelors,58600,140900
11,Aeronautics & Astronautics,Bachelors,77600,139600
12,Systems Engineering,Bachelors,77700,139200
13,Econometrics,Bachelors,64200,139000
14,Pharmacy,Bachelors,68600,138700
15,Aerospace Studies,Bachelors,55800,136600
16,Building Science,Bachelors,53800,135900
17,Chemical Engineering,Bachelors,76900,135900
18,Cognitive Science,Bachelors,68700,135200
19,Actuarial Science,Bachelors,67700,134400
20,Political Economy,Bachelors,65100,133500
21,Computer Systems Engineering,Bachelors,79000,133200
22,Electrical & Computer Engineering (ECE),Bachelors,78100,131600
23,Computer Science (CS) & Engineering,Bachelors,79400,131300
24,Marine Engineering,Bachelors,79900,131300
25,Aeronautical Engineering,Bachelors,74700,131100
26,Computer Engineering (CE),Bachelors,79000,131000
27,Naval Architecture & Marine Engineering,Bachelors,74400,130700
28,Entrepreneurship & Marketing,Bachelors,51400,129800
29,Corporate Accounting & Finance,Bachelors,65200,129700
30,Mechatronics,Bachelors,72800,129600
31,Nuclear Engineering,Bachelors,76400,129400
32,Electrical Engineering (EE),Bachelors,75600,127700
33,Foreign Affairs,Bachelors,54800,127700
34,Marine Transportation Management,Bachelors,71100,127500
35,Mechanical & Aeronautical Engineering,Bachelors,70900,126900
36,Welding Engineering,Bachelors,81000,126600
37,Instrumentation & Control Engineering,Bachelors,73100,126400
38,Computational & Applied Mathematics,Bachelors,75500,126000
39,Electrical & Electronics Engineering (EEE),Bachelors,74700,125800
40,Aerospace Engineering,Bachelors,74300,125700
41,Astronomy,Bachelors,66600,125400
42,Optical Science & Engineering,Bachelors,71000,125400
43,Quantitative Business Analysis,Bachelors,74000,125400
