termID;description;gene_hits
MMU-5683057;MAPK_family_signaling_cascades;"Kit;Itgb3;Psmb8;Lamtor2;Psmb10;Irs2;Pik3r1;Rac1;Sept7;Iqgap1;Psma2"
MMU-5673001;RAF/MAP_kinase_cascade;"Kit;Itgb3;Psmb8;Lamtor2;Psmb10;Irs2;Pik3r1;Iqgap1;Psma2"
MMU-1257604;PIP3_activates_AKT_signaling;"Kit;Psmb8;Lamtor2;Psmb10;Irs2;Pik3r1;Rac1;Psma2"
MMU-5687128;MAPK6/MAPK4_signaling;"Psmb8;Psmb10;Rac1;Sept7;Psma2"
mmu04810;Regulation_of_actin_cytoskeleton;"Itgb3;Itgav;Ppp1ca;Pik3r1;Rac1;Arpc1b;Msn;Iqgap1"
mmu04015;Rap1_signaling_pathway_(cell_adhesion/polarity);"Kit;Itgb3;Pik3r1;Gnai2;Sipa1l1;Krit1;Rac1"
mmu04151;PI3K-Akt_signaling_pathway;"Kit;Itgb3;Ifnar1;Itgav;Pik3r1;Rac1;Bcl2l11;Bcl2"
GO:0030334;Regulation_of_cell_migration;"Kit;Itgb3;Nedd9;Itgav;Irs2;Pik3r1;Gnai2;Wnk1;Dock10;Stk24;Krit1;Rac1;Bcl2;Sept7;Msn;Iqgap1"
GO:0019900;Kinase_binding;"Itgb3;Nedd9;Kif5b;Rb1cc1;Park7;Pde3b;Irs2;Taok1;Pik3r1;Sipa1l1;Wnk1;Rac1;Bcl2l11;Msn;Iqgap1"
GO:0019901;Protein_kinase_binding;"Itgb3;Nedd9;Kif5b;Rb1cc1;Pde3b;Irs2;Taok1;Pik3r1;Sipa1l1;Wnk1;Rac1;Bcl2l11;Msn;Iqgap1"
GO:0031527;Filopodium_membrane;"Itgb3;Itgav;Msn"
GO:0030175;Filopodium;"Itgb3;Itgav;Osbpl3;Msn;Ube2k"
GO:0005911;Cell-cell_junction;"Kit;Itgb3;Ppp1ca;Abcb1a;Pik3r1;Krit1;Capzb;Arhgap17;Iqgap1;Ash1l"
KW-0206;Cytoskeleton_(KW-0206);"Arpc1b;Capzb;Dock2;Gnai2;Krit1;Msn;Nedd9;Sept7;Sipa1l1;Tnik;Kif5b"
GO:0048365;Rac_GTPase_bind;"Dock2;Arhgap17;Iqgap1;Odc1"
GO:0030695;GTPase_regulator;"Dock2;Arhgap17;Sipa1l1;Git2"
GO:0017048;Rho_GTPase_bind;"Dock2;Arhgap17;Iqgap1"
MC1;PI3K/AKT_manually_curated_;"Ppp1ca;Irs2;Pik3r1;Rac1;Ube2d3;Osbpl3;Itpkb;Pitpna"
MC2;Calcium_mobilization_calmodulin_binding;"Iqgap1;Arhgap17;Ppp1ca;Edf1;Lilrb4a;Tmem64"
MC3;1st iteration;"Irs2;Ppp1ca;Ogt;Pik3r1;Itgav;Git2;Itgb3;Kit;Sipa1l1;Arhgap17;Kri1;Msn;Rac1;Nedd9;Gnai2;Dock2;Sept7;Pitpna;Tnik;Iqgap1;Arpc1b;Clic;Capzb;Dock10"
